,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN
MMM,1.0,0.9279982123455275,0.9066800616565026,0.8226317065940485,0.9601373376661858,0.9288734917213786,0.9223353081226112,0.3807460323878136,0.6786951557266876,-0.06776206674632139,0.9756780418963238,0.7013266037713944,0.93006536343021,0.953941740657483,0.9731451723490413,0.729502766666224,0.8871248613418612,0.8085506010374718,0.9134356161100189,0.6219887654107019,0.8545032011591902,0.9286055675109186,0.7269405602232669,0.7541763135747322,0.9633399769973703,0.9859287010941516,0.9679240385762549,0.8961323101592618,0.9289367349184218,0.8972640460901119
ABT,0.9279982123455275,1.0,0.9462982783781075,0.8143419296429012,0.924797837222057,0.8520901074295735,0.8923147518851592,0.20025096294654704,0.6762962288941059,0.026438812484755148,0.9343718189843336,0.8007825443990276,0.8619774682046313,0.88945864017229,0.9233955510318475,0.7695289198638812,0.815866302577185,0.6772650806325501,0.8094325060004758,0.7316545146172742,0.8391072149524627,0.7217824699873437,0.7447870668822398,0.8235615589155175,0.8851240920974758,0.951820628472846,0.9094920990731817,0.6960150070583427,0.8338392895804734,0.8498072574933015
ABBV,0.9066800616565026,0.9462982783781075,1.0,0.875212477592832,0.8996366505272954,0.8777678333649483,0.9229493156687918,0.6830548784832449,0.10759530818866772,-0.28815992418553216,0.9169714323200802,0.2064669857281996,0.8882449372215456,0.9124525958224711,0.8781548980122149,0.5296159940901521,0.5023423644781515,0.6883266360525087,0.8362315652056176,0.01894424969414928,0.9114381928609714,0.7876395875894682,0.1361286653038194,0.23275446044421236,0.7802180005338378,0.9123823059167927,0.8685951589746349,0.8068605803686872,0.6362116228304557,0.8794217167293893
ABMD,0.8226317065940485,0.8143419296429012,0.875212477592832,1.0,0.8906560584920094,0.933434232637224,0.9663696152591589,0.5587841371632969,0.4216471394055006,-0.2286475041557471,0.8876306175355215,0.3717243370100152,0.8480280182971478,0.8621979145184242,0.8106249297864397,0.5902062514719371,0.6490381053413711,0.7215187391546536,0.8718223299299368,0.3062887748152869,0.9601080407261384,0.8164432032278682,0.4020225768658026,0.4261200493381647,0.7989887491554897,0.8239741435776702,0.8809549912569621,0.8858573133725106,0.7259463924282451,0.97103106544111
ACN,0.9601373376661858,0.924797837222057,0.8996366505272954,0.8906560584920094,1.0,0.947631709402347,0.9451015399740652,0.36970916276584803,0.6588234321581694,-0.14886296754816647,0.979173197632733,0.6417852302487174,0.9073921208171658,0.9405592022959548,0.9404539447305048,0.6833670959540235,0.8622391563640509,0.8070867345045031,0.9086056699474137,0.5910455387037887,0.8898652624196305,0.9363347425325472,0.6685617834665747,0.7038771919528495,0.956700507684492,0.9573877924479864,0.9777492525890348,0.9613769934794592,0.9213298888162329,0.9489524658708033
ATVI,0.9288734917213786,0.8520901074295735,0.8777678333649483,0.933434232637224,0.947631709402347,1.0,0.9752498681649466,0.5802791106495306,0.4939742130255538,-0.2516383726526196,0.9548909672916929,0.4621528599642173,0.9094263690656409,0.9429234192382725,0.8834120024400507,0.5831401962947624,0.7841888606195411,0.846119326803712,0.9352995368197894,0.3963303048022421,0.9410077534905849,0.9482361459961107,0.5277965504568459,0.5361280945015443,0.9058222408819621,0.9151119143958442,0.9641139762010225,0.9816731119591408,0.8570531818937817,0.9789231117526892
ADBE,0.9223353081226112,0.8923147518851592,0.9229493156687918,0.9663696152591589,0.9451015399740652,0.9752498681649466,1.0,0.5404833595182912,0.4971679928429236,-0.16051923798262813,0.95159300537412,0.5180151234243405,0.9244479110026498,0.9450453419522974,0.8942703050148515,0.6544661071145761,0.7478923027178932,0.8014289935697899,0.9112150819511113,0.42490950760661467,0.9724469729882793,0.8706373697612001,0.5182906071224905,0.5647531991283843,0.8831480678501584,0.9240855635372754,0.9527962592160536,0.9392183139660681,0.8099230244563077,0.9837235575546922
AMD,0.3807460323878136,0.20025096294654704,0.6830548784832449,0.5587841371632969,0.36970916276584803,0.5802791106495306,0.5404833595182912,1.0,-0.17449107139786055,-0.21056250281593927,0.3996571709268215,-0.20119073391106543,0.47075859192685887,0.520854349627453,0.30600605030183137,0.0363636089258487,0.18851573976994726,0.6619714190036395,0.5868175340969954,-0.3493766012673833,0.5958611741594437,0.8043832377000922,-0.19522916078336935,-0.18073294238876966,0.3405279050328348,0.34960443317924605,0.41970769265758034,0.8441863461360237,0.27531463927418504,0.5561759763615352
AAP,0.6786951557266876,0.6762962288941059,0.10759530818866772,0.4216471394055006,0.6588234321581694,0.4939742130255538,0.4971679928429236,-0.17449107139786055,1.0,0.09760311750652285,0.6687970003428919,0.7023127157076977,0.5312129407844339,0.5131409516045857,0.7667106663451111,0.7886681120513713,0.8669695935310704,0.2624158376096259,0.5434504333385766,0.8521714369331017,0.3324694575258214,-0.2886387950812996,0.928371045774715,0.8523187691385661,0.7099944391932265,0.6678363058297784,0.6527077083553436,-0.5277743375634223,0.7944348962029155,0.48197282041778666
AES,-0.06776206674632139,0.026438812484755148,-0.28815992418553216,-0.2286475041557471,-0.14886296754816647,-0.2516383726526196,-0.16051923798262813,-0.21056250281593927,0.09760311750652285,1.0,-0.14086065877524728,0.3933344963921201,0.0023240801325659223,-0.02171320826951517,0.00481077907697717,0.14424800782866712,-0.1247221311655657,-0.08053211497273145,-0.21458781797154827,0.25295767813797265,-0.15886319790685613,-0.618641198384284,0.08214186851961255,0.25670903739898016,-0.08173790169371731,-0.048961106875602164,-0.14593198502675095,-0.5380253199382137,-0.18005418354345962,-0.2359581349604528
AET,0.9756780418963238,0.9343718189843336,0.9169714323200802,0.8876306175355215,0.979173197632733,0.9548909672916929,0.95159300537412,0.3996571709268215,0.6687970003428919,-0.14086065877524728,1.0,0.6487212234215896,0.911602130018945,0.9451790375089171,0.963292863787375,0.7227181664909343,0.8823018274036902,0.7905682634421423,0.925669134929806,0.5933923129690446,0.8899406854315487,0.9435767929035764,0.7056855523277703,0.7162628677828363,0.9510192355756367,0.9698122492812219,0.9745677339580245,0.9269831936751092,0.9196714783413342,0.9364991604212182
