Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN
2010-01-01,82.67,25.8328,,8.73,41.5,11.11,36.78,9.68,40.48,13.31,31.7,67.35,23.125,22.2177,74.9403,25.34,8.64,36.37,64.29,24.41,17.82,,39.61,64.59,15.13,30.04,310.2904,,19.63,134.52
2010-01-04,83.02,26.0577,,8.74,42.07,11.3,37.09,9.7,40.38,13.67,33.0,68.88,23.785,22.3822,76.8818,25.92,8.7175,38.09,63.55,24.125,18.5,,40.29,65.89,15.175,30.41,313.6786,,19.79,133.9
2010-01-05,82.5,25.8471,,8.53,42.33,11.32,37.7,9.71,40.14,13.53,32.53,69.43,24.475,22.1391,76.2439,26.69,9.195,38.02,62.88,23.78,18.01,,39.89,66.02,15.53,30.91,312.2973,,19.8,134.69
2010-01-06,83.67,25.9907,,8.4,42.78,11.26,37.62,9.57,40.49,13.39,32.4,70.79,24.69,22.0604,75.6152,26.47,9.1125,38.09,62.55,23.84,17.48,,40.02,66.35,15.65,30.92,304.4247,,20.09,132.25
2010-01-07,83.73,26.206,,8.4,42.74,10.99,36.89,9.47,40.48,13.4,33.43,70.47,24.955,22.0318,75.1807,26.48,9.065,37.82,63.13,23.93,17.43,,39.7,66.96,15.735,31.08,297.3378,,20.06,130.0
2010-01-08,84.32,26.34,,8.23,42.57,10.9,36.69,9.43,40.64,13.78,32.7,69.82,24.705,22.0247,75.6614,26.48,8.885,38.39,62.92,23.975,17.66,,39.41,67.68,16.04,31.21,301.3017,,20.11,133.52
2010-01-11,83.98,26.4739,,8.08,42.53,10.89,36.21,9.14,40.24,13.87,32.74,70.29,25.355,22.039,77.0482,26.39,8.83,38.22,63.25,23.83,17.54,,39.77,67.75,16.005,31.21,300.8462,,20.26,130.308
2010-01-12,84.05,26.3974,,7.89,42.26,10.77,35.66,8.65,39.54,13.71,30.61,69.77,25.225,21.7744,76.0682,26.16,9.0275,37.69,63.34,23.5,17.23,,39.72,66.64,16.01,31.18,295.5261,,20.15,127.35
2010-01-13,83.78,26.4548,,7.96,42.74,10.91,36.28,9.15,40.09,14.08,30.75,70.52,25.5,21.945999999999998,76.8263,26.04,9.335,38.07,63.51,23.57,17.58,,40.89,66.62,16.16,31.46,293.8294,,20.24,129.11
2010-01-14,83.5,26.4835,,8.25,43.12,10.86,35.9,9.0,39.56,14.09,31.41,69.22,25.835,22.2749,75.874,26.88,9.35,37.92,63.49,23.835,17.13,,41.1,66.69,16.34,31.64,295.2108,,20.38,127.35
2010-01-15,83.37,26.5505,,8.05,42.81,10.89,35.87,8.84,39.31,14.04,31.36,67.76,25.555,21.7601,76.5212,26.61,9.015,37.89,62.71,23.705,16.93,,40.9,65.64,16.355,30.91,290.281,,20.42,127.14
2010-01-18,83.37,26.5505,,8.05,42.81,10.89,35.87,8.84,39.31,14.04,31.36,67.76,25.555,21.7601,76.5212,26.61,9.015,37.89,62.71,23.705,16.93,,40.9,65.64,16.355,30.91,290.281,,20.42,127.14
2010-01-19,85.12,26.8902,,8.35,43.75,10.84,36.95,9.01,39.5,14.13,32.66,68.3,26.05,22.0247,76.3455,27.22,9.2925,38.37,63.45,23.815,17.34,,41.83,67.25,16.58,31.39,294.0947,,20.38,127.61
